市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,au1706,2017-02-08 21:10:21.000,278.5000,325136,0,1671000.0000,6.0000,3,3,多换,B,278.4500,278.5000,44,73
sc,au1706,2017-02-08 21:10:21.500,278.5000,325146,10,3342000.0000,12.0000,11,1,多开,B,278.4500,278.5000,48,68
sc,au1706,2017-02-08 21:10:26.000,278.5000,325144,-2,2227900.0000,8.0000,3,5,空平,B,278.4500,278.5000,55,60
sc,au1706,2017-02-08 21:10:26.500,278.5000,325144,0,3899000.0000,14.0000,7,7,多换,B,278.4500,278.5000,55,53
sc,au1706,2017-02-08 21:10:27.000,278.5000,325172,28,15595900.0000,56.0000,42,14,多开,B,278.4500,278.5000,55,26
sc,au1706,2017-02-08 21:10:28.000,278.5000,325164,-8,3898800.0000,14.0000,3,11,空平,B,278.4500,278.5000,51,21
sc,au1706,2017-02-08 21:10:29.000,278.5000,325164,0,2228000.0000,8.0000,4,4,多换,B,278.4500,278.5000,51,20
sc,au1706,2017-02-08 21:10:29.500,278.5000,325158,-6,1671000.0000,6.0000,0,6,双平,B,278.4500,278.5000,51,17
sc,au1706,2017-02-08 21:10:30.000,278.5000,325152,-6,1671000.0000,6.0000,0,6,双平,B,278.4500,278.5000,51,15
sc,au1706,2017-02-08 21:10:30.500,278.5000,325146,-6,2228000.0000,8.0000,1,7,空平,B,278.4500,278.5000,47,11
sc,au1706,2017-02-08 21:10:31.000,278.5000,325144,-2,11697000.0000,42.0000,20,22,空平,B,278.5000,278.5500,3,137
sc,au1706,2017-02-08 21:10:31.500,278.5000,325144,0,2785000.0000,10.0000,5,5,多换,B,278.4500,278.5000,47,6
sc,au1706,2017-02-08 21:10:32.000,278.4500,325144,0,1113900.0000,4.0000,2,2,空换,S,278.4500,278.5500,46,138
sc,au1706,2017-02-08 21:10:32.500,278.5500,325146,2,557100.0000,2.0000,2,0,双开,B,278.4500,278.5500,42,137
sc,au1706,2017-02-08 21:10:34.000,278.5000,325146,0,1114000.0000,4.0000,2,2,空换,S,278.4500,278.5000,44,10
sc,au1706,2017-02-08 21:10:34.500,278.5000,325144,-2,1113900.0000,4.0000,1,3,多平,S,278.5000,278.5500,2,137
sc,au1706,2017-02-08 21:10:35.000,278.5000,325142,-2,557000.0000,2.0000,0,2,双平,S,278.5000,278.5500,3,137
sc,au1706,2017-02-08 21:10:36.000,278.5000,325142,0,557000.0000,2.0000,1,1,空换,S,278.5000,278.5500,2,126
sc,au1706,2017-02-08 21:10:36.500,278.5500,325142,0,557100.0000,2.0000,1,1,多换,B,278.5000,278.5500,2,124
sc,au1706,2017-02-08 21:10:38.500,278.5000,325142,0,1114000.0000,4.0000,2,2,空换,S,278.5000,278.5500,30,91
sc,au1706,2017-02-08 21:10:39.500,278.5000,325142,0,557000.0000,2.0000,1,1,空换,S,278.5000,278.5500,32,92
sc,au1706,2017-02-08 21:10:40.000,278.5000,325138,-4,1114000.0000,4.0000,0,4,双平,S,278.5000,278.5500,33,92
sc,au1706,2017-02-08 21:10:40.500,278.5000,325138,0,557000.0000,2.0000,1,1,空换,S,278.5000,278.5500,38,84
sc,au1706,2017-02-08 21:10:42.000,278.5000,325138,0,1114100.0000,4.0000,2,2,空换,S,278.5000,278.5500,50,83
